Item Code,Item Name,Qty,Selling Price
4796028974268,Ln120 - Polo White 2xl,1,"8,990.00"
4796028976828,Ln134 - Polo Blue 2xl,5,"9,900.00"
4796028976873,Ln134 - Polo Navy 2xl,1,"9,900.00"
4796028976972,Ln134 - Polo Beige 2xl,2,"9,900.00"
4796028976811,Ln134 - Polo Blue Xl,6,"9,900.00"
4796028976910,Ln134 - Polo L.H.Grey Xl,7,"9,900.00"
4796028976965,Ln134 - Polo Beige Xl,2,"9,900.00"
4796028976804,Ln134 - Polo Blue L,2,"9,900.00"
4796028977016,Ln148 - Sweat Shirt Navy Xl,3,"7,900.00"
4796028977054,Ln148 - Sweat Shirt Pink Xl,4,"7,900.00"
4796028977092,Ln148 - Sweat Shirt White Xl,4,"7,900.00"
4796028977139,Ln148 - Sweat Shirt S/Green Xl,9,"7,900.00"
4796028977009,Ln148 - Sweat Shirt Navy L,9,"7,900.00"
4796028977085,Ln148 - Sweat Shirt White L,2,"7,900.00"
4796028977122,Ln148 - Sweat Shirt Green L,6,"7,900.00"
4796028977108,Ln148 - Sweat Shirt S/Green S,2,"7,900.00"
4796028977214,Ln149 - Crew Neck Latte Xl,3,"6,400.00"
4796028977252,Ln149 - Crew Neck White Xl,1,"6,400.00"
4796028977290,Ln149 - Crew Neck Navy Xl,1,"6,400.00"
4796028977207,Ln149 - Crew Neck Latte L,2,"6,400.00"
4796028977245,Ln149 - Crew Neck White L,3,"6,400.00"
4796028977283,Ln149 - Crew Neck Navy L,2,"6,400.00"
4796028977191,Ln149 - Crew Neck Latte M,1,"6,400.00"
4796028977276,Ln149 - Crew Neck Navy M,2,"6,400.00"
4796028977221,Ln149 - Crew Neck White S,1,"6,400.00"
4796028978778,Ln151 - Shorts Black Xl,3,"6,400.00"
4796028978761,Ln151 - Shorts Black L,1,"6,400.00"
4796028978754,Ln151 - Shorts Black M,4,"6,400.00"
4796028978747,Ln151 - Shorts Black S,1,"6,400.00"
4796028978815,Ln152 - Hoodies Black Xl,4,"14,400.00"
4796028978808,Ln152 - Hoodies Black L,4,"14,400.00"
4796028978792,Ln152 - Hoodies Black M,4,"14,400.00"
4796028978785,Ln152 - Hoodies Black S,1,"14,400.00"
4796028978891,Ln153 - Polo Set White Xl,5,"11,400.00"
4796028978884,Ln153 - Polo Set White L,1,"11,400.00"
4796028978839,Ln153 - Polo Set Green M,1,"11,400.00"
4796028978976,Ln154 - Shorts Green Xl,2,"6,900.00"
4796028979010,Ln154 - Shorts White Xl,4,"6,900.00"
4796028979058,Ln154 - Shorts Black Xl,3,"6,900.00"
4796028978969,Ln154 - Shorts Green L,3,"6,900.00"
4796028979003,Ln154 - Shorts White L,2,"6,900.00"
4796028979041,Ln154 - Shorts Black L,7,"6,900.00"
