SKU,Image,Description,Sale %,Stock QTY,PE Comments
LN 197,,Co-ord set,70,759,To Clear
LN 229,,Plain OS Tee,40,262,
LN 323,,Ribbed Johnny collar ,New item,207,
LN 148,,LS Sweater,70,187,
LN 154,,,50,169,
LN 113,,,70,161,
LN 309,,Button down shirt,New Item,159,
LN 211,,Bottom,50,153,To Clear
LN 212,,Crane embroidery set,70,145,To Clear
LN 153,,Tshirt of set,70,127,
LN 129,,,70,122,
LN 239,,Bottom,70,120,
LN 268,,,New Item,120,
LN 270,,OS Tee,40,117,
LN 225,,,40,108,
LN 230,,Turtleneck LS,70,107,
LN 224,,Ladies sleeveless Turtleneck,New item,106,
LN 120,,LONDON Placket ,70,96,
LN 296,,Flat Knit Crew,New Item,79,
LN 232,,OS Tee,60,78,To Clear
LN 214,,,Fast Moving,66,
LN 254,,,40,65,
LN 251,,,"new, small sizes over",60,
LN 320,,,Odel,60,
LN 244,,Oversized Tee,40,57,To Clear
LN 253,,,,57,
LN 288,,,New item,54,
LN 156,,,70,50,
LN 218,,,40,49,
LN 187,,,70,47,
LN 265,,,Odel,44,
LN 163,,,40,43,
LN 273,,Drifit ,Odel,35,To Clear
LN 289,,,"New Item, slow moving so 40",33,
LN 303,,,70,26,
LN 304,,,,25,
LN 192,,Ladies zipper polo,50,24,To Clear
LN 216,,Mens zipper polo,,20,
LN 165,,Bottom of set,50,18,
LN 195,,,,18,
LN 285,,textured zipper polo,,18,
LN 312,,,,18,
LN 184,,,70,17,
LN 194,,,,17,To Clear
LN 267,,,Odel,17,
LN 231,,,,16,
LN 236,,Line detail set,,16,
LN 311,,,,16,
LN 217,,,,15,To Clear
LN 226,,Hoodie jogger set,,15,To Clear
LN 301,,Structured fabric oversized set,,14,
LN 164,,Ladies zipper hoodie,,13,
LN 286,,popcorn johnny collar,,13,
LN 185,,,,12,To Clear
LN 193,,,,12,
LN 280,,,,12,
LN 282,,,,12,
LN 259,,,,10,
LN 287,,popcorn oversized,,10,
LN 313,,,,10,
LN 144,,,,9,
LN 310,,,,9,
LN 191,,,,8,To Clear
LN 134,,,,7,
LN 147,,,,7,
LN 158,,,,7,
LN 183,,,,7,
LN 151,,,,6,
LN 152,,,,6,
LN 181,,,,6,
LN 222,,,,6,
LN 266,,,,5,
LN 281,,,,4,
LN 174,,,,3,
LN 175,,,,3,
LN 284,,,,3,
LN 317,,,,3,
LN 179,,,,2,
LN 115,,,,1,
,,,,4618,
